	
locus	Mean	Lower_95%CI	Upper_95%CI	
Locus285	0.0821	0.0114	0.1448	
Locus286	-0.0578	-0.0867	-0.0245	
Locus287	0.0531	-0.0265	0.1321	
Locus288	0.0279	-0.0368	0.1012	
Locus289	-0.0737	-0.0929	-0.0391	
Locus290	-0.0463	-0.0799	-0.0023	
Locus291	-0.0396	-0.0764	0.0311	
Locus292	-0.0432	-0.0812	0.0078	
Locus293	0.0596	-0.0236	0.1347	
Locus294	0.0945	0.0061	0.1697	
Locus295	-0.0094	-0.0765	0.053	
Locus296	-0.0696	-0.0894	-0.0284	
Locus297	-0.037	-0.0682	0.0145	
Locus298	0.0628	0.0098	0.1456	
Locus299	0.0086	-0.055	0.0863	
Locus300	-0.0252	-0.0782	0.0347	
Locus301	-0.0208	-0.0695	0.0392	
Locus302	0.0454	-0.0254	0.1232	
Locus303	-0.0222	-0.0962	0.0552	
Locus304	0.0792	0.011	0.1551	
Locus305	0.0396	-0.0281	0.106	
Locus306	-0.0589	-0.0832	-0.026	
Locus307	0.0024	-0.0617	0.0762	
Locus308	-0.0241	-0.0728	0.0482	
Locus309	0.0423	-0.0335	0.1131	
Locus310	-0.0585	-0.0862	-0.0033	
Locus311	-0.0574	-0.0836	-0.0106	
Locus312	-0.0482	-0.0778	-0.006	
Locus313	-2e-04	-0.0532	0.0757	
Locus314	-0.0101	-0.0616	0.0472	
Locus315	-0.0256	-0.0681	0.0346	
Locus316	-0.0093	-0.0685	0.0433	
Locus317	0.0331	-0.0375	0.1208	
Locus318	-0.038	-0.0747	0.0251	
Locus319	-0.0248	-0.0753	0.0327	
Locus320	-0.0349	-0.0705	0.0219	
Locus321	-0.0219	-0.0613	0.0456	
Locus322	-0.0569	-0.098	-0.0041	
Locus323	-0.0257	-0.0731	0.0352	
Locus324	0.0667	-0.0017	0.1441	
Locus325	-0.0108	-0.06	0.0511	
Locus326	-0.0748	-0.0909	-0.0451	
Locus327	0.0284	-0.0195	0.0983	
Locus328	-0.0563	-0.083	-0.012	
Locus329	-0.0097	-0.0851	0.0887	
Locus330	-0.0475	-0.0783	0.0074	
Locus331	0.0062	-0.0685	0.0889	
Locus332	-0.0494	-0.0795	-0.012	
Locus333	-0.0633	-0.0887	-0.02	
Locus334	0.0227	-0.0177	0.0717	
Locus335	-0.0357	-0.0686	0.0048	
Locus336	-0.0063	-0.0627	0.0585	
Locus337	-0.0213	-0.0736	0.0405	
Locus338	-0.0436	-0.0805	0.0326	
Locus339	-0.0638	-0.0873	-0.0158	
Locus340	-0.0068	-0.0577	0.0491	
Locus341	-0.0357	-0.0739	0.0132	
Locus342	0.004	-0.0587	0.0765	
Locus343	0.0157	-0.0513	0.1002	
Locus344	-0.043	-0.0832	0.014	
Locus345	-0.0121	-0.0697	0.065	
Locus346	0.0081	-0.0476	0.0736	
Locus347	-0.0683	-0.0913	-0.0275	
Locus348	0.0187	-0.0434	0.0973	
Locus349	-0.0618	-0.0859	-0.026	
Locus350	-0.0491	-0.0791	-0.0096	
Locus351	0.0092	-0.048	0.0864	
Locus352	0.0337	-0.0564	0.1217	
Locus353	-0.034	-0.0721	0.0234	
Locus354	-0.0197	-0.0674	0.0371	
Locus355	-0.0563	-0.0893	-0.0068	
Locus356	-0.0289	-0.0795	0.0239	
Locus357	-0.0278	-0.0753	0.0228	
Locus358	-0.0367	-0.0863	0.0465	
Locus359	0.0745	0.0035	0.1468	
Locus360	-0.0505	-0.0826	-0.0041	
Locus361	-0.0543	-0.0967	0.0143	
Locus362	0.0219	-0.0389	0.1171	
Locus363	-0.0372	-0.0691	0.0089	
Locus364	0.0151	-0.0489	0.0819	
Locus365	-0.0676	-0.0882	-0.0309	
Locus366	0.015	-0.0427	0.1074	
Locus367	-0.0214	-0.0705	0.0427	
Locus368	-0.064	-0.0869	-0.0157	
Locus369	-0.051	-0.0786	-0.0058	
Locus370	0.0237	-0.0508	0.0949	
Locus371	-0.0358	-0.0789	0.0331	
Locus372	-0.0048	-0.0504	0.0594	
Locus373	-0.0467	-0.076	0.0069	
Locus374	-0.0026	-0.0747	0.0752	
Locus375	0.0094	-0.063	0.1163	
Locus376	-0.0112	-0.0507	0.0437	
Locus377	-0.0442	-0.0866	0.0179	
Locus378	-0.0012	-0.062	0.0645	
Locus379	-0.0519	-0.0835	-0.0148	
Locus380	0.0224	-0.0337	0.0959	
Locus381	0.0458	0.004	0.0929	
Locus382	0.0106	-0.0477	0.071	
Locus383	0.0045	-0.0545	0.0715	
Locus384	-0.0441	-0.0887	0.0164	
Locus385	-0.0319	-0.0729	0.017	
Locus386	-0.0618	-0.0877	-0.0228	
Locus387	-0.0704	-0.0896	-0.0434	
Locus388	-0.0673	-0.0868	-0.0331	
Locus389	-0.0024	-0.0686	0.1013	
Locus390	0.0336	-0.0242	0.1053	
Locus391	-0.0307	-0.0734	0.0258	
Locus392	-0.018	-0.063	0.0307	
Locus393	-0.051	-0.0813	-0.0079	
Locus394	0.0024	-0.0571	0.0787	
Locus395	-0.0478	-0.0766	0.0072	
Locus396	9e-04	-0.047	0.0773	
Locus397	-0.0666	-0.095	-0.0171	
Locus398	0.0078	-0.0532	0.069	
Locus399	-0.0137	-0.0726	0.0599	
Locus400	0.0143	-0.0531	0.0949	
Locus401	-0.0263	-0.0872	0.0281	
Locus402	0.0597	-0.0119	0.1351	
Locus403	-0.0484	-0.0838	-0.0078	
Locus404	-0.0055	-0.0691	0.0758	
Locus405	0.0316	-0.0285	0.1111	
Locus406	0.1034	0.0321	0.1673	
Locus407	0.0067	-0.0512	0.0764	
Locus408	-0.0232	-0.0894	0.0494	
Locus409	0.0296	-0.0295	0.0973	
Locus410	-0.0166	-0.0647	0.0499	
Locus411	-0.0585	-0.0815	-0.0252	
Locus412	-0.0285	-0.0731	0.0318	
Locus413	-0.0542	-0.0856	0.0014	
Locus414	0.0092	-0.0529	0.1023	
Locus415	0.0449	-0.0338	0.1444	
Locus416	0.0066	-0.0501	0.0725	
Locus417	-0.0399	-0.0704	0.03	
Locus418	-0.035	-0.0788	0.0262	
Locus419	-0.0376	-0.0744	0.021	
Locus420	-0.0121	-0.0587	0.0412	
Locus421	-0.0213	-0.083	0.0523	
Locus422	0.0267	-0.0351	0.1152	
Locus423	0.0033	-0.0556	0.0583	
Locus424	0.0741	0.0025	0.1832	
Locus425	0.0367	-0.0294	0.1419	
Locus426	-0.052	-0.0857	-0.0042	
Locus427	-0.0498	-0.0889	0.0089	
Locus428	0.037	-0.0399	0.148	
Locus429	0.0135	-0.0504	0.078	
Locus430	0.0355	-0.0236	0.1099	
Locus431	0.0385	-0.043	0.1238	
Locus432	-0.0211	-0.0745	0.0372	
Locus433	-0.0369	-0.0884	0.0304	
Locus434	-0.0271	-0.0821	0.0426	
Locus435	-0.0211	-0.0696	0.0502	
Locus436	-0.0515	-0.092	0.0073	
Locus437	-0.0235	-0.0743	0.0445	
Locus438	0.0238	-0.0418	0.0967	
Locus439	-0.0603	-0.0877	0.0021	
Locus440	-0.0276	-0.0701	0.0427	
Locus441	-0.0119	-0.064	0.0529	
Locus442	-0.0614	-0.0897	-0.0116	
Locus443	0.014	-0.0516	0.0944	
Locus444	0.0087	-0.0396	0.0852	
Locus445	0.0461	-0.0279	0.1307	
Locus446	0.0262	-0.0423	0.0955	
Locus447	-0.0643	-0.0914	-0.0265	
Locus448	-0.0489	-0.0953	0.0138	
Locus449	0.0119	-0.0457	0.0886	
Locus450	-0.0698	-0.0906	-0.0324	
Locus451	-0.0761	-0.0907	-0.0505	
Locus452	-0.0281	-0.0838	0.0346	
Locus453	-0.0112	-0.0689	0.0675	
Locus454	0.0163	-0.0477	0.0932	
Locus455	-0.0553	-0.0868	-0.0108	
Locus456	0.0559	-0.024	0.1416	
Locus457	0.135	0.0554	0.2152	
Locus458	0.0422	-0.0192	0.1088	
Locus459	-0.0311	-0.0753	0.0295	
Locus460	-0.0041	-0.0578	0.0733	
Locus461	0.0197	-0.0353	0.0995	
Locus462	0.0107	-0.0436	0.0694	
Locus463	-0.0575	-0.0884	-0.012	
Locus464	-0.0627	-0.0905	-0.0049	
Locus465	-0.0691	-0.0888	-0.0271	
Locus466	-0.0587	-0.0863	-0.0244	
Locus467	-0.0527	-0.0838	-0.0046	
Locus468	0.0216	-0.046	0.0899	
Locus469	-0.0046	-0.069	0.0636	
Locus470	-0.0653	-0.1066	0.0044	
Locus471	-0.0677	-0.0902	-0.0303	
Locus472	0.0067	-0.0473	0.0886	
Locus473	-0.0558	-0.0841	-0.0092	
Locus474	-7e-04	-0.0561	0.0772	
Locus475	-0.0552	-0.0879	-0.0156	
Locus476	0.0689	0	0.1381	
Locus477	-0.0316	-0.0685	0.0202	
Locus478	0.0957	0.0245	0.1767	
Locus479	-0.0021	-0.0575	0.0734	
Locus480	-0.0373	-0.0799	0.0166	
Locus481	-0.0029	-0.0666	0.0785	
Locus482	-0.0239	-0.0622	0.0411	
Locus483	-0.026	-0.089	0.0565	
Locus484	0.0482	-0.0162	0.1477	
Locus485	0.0336	-0.0319	0.1318	
Locus486	-0.0308	-0.0708	0.0282	
Locus487	-0.0135	-0.0741	0.0522	
Locus488	-0.0369	-0.0929	0.0452	
Locus489	0.0841	0.0196	0.1453	
Locus490	-0.0541	-0.0892	0.0051	
Locus491	-0.0217	-0.0645	0.0399	
Locus492	-0.0365	-0.0778	0.008	
Locus493	-0.0196	-0.0626	0.0496	
Locus494	-0.0169	-0.0809	0.0422	
Locus495	-0.0337	-0.0683	0.0186	
Locus496	-0.0643	-0.0889	-0.0185	
Locus497	-0.0213	-0.0839	0.0574	
Locus498	-0.0451	-0.0958	0.024	
Locus499	-0.0542	-0.0821	-0.0163	
Locus500	-0.005	-0.0542	0.0543	
Locus501	-0.0411	-0.0895	0.0314	
Locus502	0.0545	-0.0082	0.1383	
Locus503	-0.0535	-0.0795	-0.0209	
Locus504	-0.0447	-0.0726	0.0091	
Locus505	-0.0177	-0.0677	0.037	
Locus506	0.0319	-0.0329	0.0921	
Locus507	-0.0187	-0.0599	0.0212	
Locus508	-0.0025	-0.0539	0.0719	
Locus509	-0.005	-0.072	0.0661	
Locus510	-0.0337	-0.0738	0.0265	
Locus511	-0.0432	-0.0726	0.0053	
Locus512	-0.0125	-0.0663	0.0559	
Locus513	0.0589	-0.0122	0.1254	
Locus514	0.029	-0.0324	0.0979	
Locus515	0.0126	-0.0514	0.076	
Locus516	-0.032	-0.0679	0.026	
Locus517	-0.0463	-0.0945	0.0124	
Locus518	-0.0326	-0.0736	0.0271	
Locus519	0.0418	-0.0239	0.0997	
Locus520	0.0086	-0.0448	0.0807	
Locus521	-0.0486	-0.0934	-0.0059	
Locus522	-0.025	-0.0698	0.0295	
Locus523	-0.0658	-0.0867	-0.0249	
Locus524	-0.0198	-0.0734	0.0489	
Locus525	-0.0104	-0.0624	0.0467	
Locus526	-0.0477	-0.0904	0.0096	
Locus527	-0.0594	-0.0848	-0.0272	
Locus528	0.0604	-0.0076	0.1358	
Locus529	-0.0327	-0.0698	0.0248	
Locus530	0.0644	-0.0019	0.1421	
Locus531	-0.0439	-0.092	0.0222	
Locus532	-0.045	-0.0778	0.0036	
Locus533	-0.0544	-0.0791	-0.0121	
Locus534	-0.0289	-0.0731	0.0344	
Locus535	-0.0296	-0.0694	0.0166	
Locus536	-0.0209	-0.0723	0.0578	
Locus537	-0.0527	-0.0825	-0.0025	
Locus538	0.0064	-0.0463	0.0668	
Locus539	-0.044	-0.079	0.0172	
Locus540	-0.0385	-0.0753	0.0046	
Locus541	-0.0334	-0.0865	0.042	
Locus542	-0.0128	-0.0805	0.0698	
Locus543	-0.0299	-0.0681	0.017	
Locus544	-0.0408	-0.0773	0.0125	
Locus545	-0.0553	-0.088	0.0045	
Locus546	-0.0308	-0.087	0.0369	
Locus547	-0.0197	-0.0627	0.0399	
Locus548	-0.0347	-0.0753	0.027	
Locus549	0.0458	-0.0211	0.1154	
Locus550	0.0347	-0.0385	0.1279	
Locus551	-0.053	-0.086	-0.0049	
Locus552	0.0214	-0.0477	0.0942	
Locus553	0.0789	-0.0037	0.1609	
Locus554	0.019	-0.0462	0.0966	
Locus555	0.0406	-0.0312	0.1283	
Locus556	0.0368	-0.03	0.1022	
Locus557	0.0377	-0.0393	0.1174	
Locus558	-0.0372	-0.0912	0.0491	
Locus559	-0.0099	-0.0528	0.0766	
Locus560	-0.0114	-0.0683	0.062	
Locus561	-0.0318	-0.0743	0.0332	
Locus562	-0.0557	-0.0828	-0.0143	
Locus563	0.0098	-0.0573	0.0683	
Locus564	-0.0439	-0.098	0.0396	
Locus565	-0.0415	-0.0751	0.0135	
Locus566	-0.0223	-0.0745	0.0362	
Locus567	-0.0322	-0.0687	0.0122	
Locus568	-0.0059	-0.0532	0.0493	
Locus569	0.0282	-0.0318	0.0883	
Locus570	-0.0276	-0.0702	0.0238	
Locus571	-0.0538	-0.0953	0.0041	
Locus572	-0.003	-0.0618	0.0588	
Locus573	-0.0589	-0.0857	-0.0158	
Locus574	-0.0523	-0.0792	-0.0145	
Locus575	-0.0714	-0.0907	-0.0437	
Locus576	-0.0071	-0.0564	0.0649	
Locus577	-0.0484	-0.0785	-0.009	
Locus578	-0.0012	-0.06	0.0661	
Locus579	-0.0607	-0.0847	-0.0209	
Locus580	-0.0367	-0.076	0.0188	
Locus581	-8e-04	-0.0553	0.0483	
Locus582	0.0021	-0.0521	0.0666	
Locus583	-0.0632	-0.0913	-0.0247	
Locus584	0.0671	-0.0161	0.1461	
Locus585	-0.0402	-0.0678	0.0077	
Locus586	-0.0377	-0.0801	0.02	
Locus587	-0.0457	-0.0755	1e-04	
Locus588	0.0295	-0.0457	0.1197	
Locus589	0.0234	-0.0439	0.0858	
Locus590	0.0132	-0.0433	0.0699	
Locus591	-0.0316	-0.0831	0.0283	
Locus592	-0.0045	-0.0637	0.0762	
Locus593	-0.0219	-0.0749	0.0372	
Locus594	-0.0361	-0.0926	0.0185	
Locus595	0.0061	-0.0507	0.0754	
Locus596	-0.016	-0.0767	0.0656	
Locus597	-0.0601	-0.1003	0.0098	
Locus598	-0.0368	-0.0792	0.0159	
Locus599	-0.0349	-0.0883	0.0321	
Locus600	-0.0602	-0.0903	-0.0253	
Locus601	-0.035	-0.0787	0.0274	
Locus602	-0.0122	-0.0558	0.0467	
Locus603	-0.0337	-0.0959	0.0364	
Locus604	-0.0676	-0.087	-0.0392	
Locus605	-0.0363	-0.0842	0.0163	
Locus606	-7e-04	-0.0539	0.065	
Locus607	0.0709	-0.0039	0.1633	
Locus608	-0.042	-0.0822	0.0181	
Locus609	-0.0082	-0.061	0.059	
Locus610	-0.0348	-0.0749	0.0317	
Locus611	-0.0142	-0.0661	0.0485	
Locus612	-0.0312	-0.0738	0.0274	
Locus613	-0.0206	-0.0699	0.0321	
Locus614	-0.0641	-0.0879	-0.0265	
Locus615	0.0105	-0.0406	0.0807	
Locus616	-0.0269	-0.0857	0.0524	
Locus617	-0.0307	-0.0705	0.0362	
Locus618	0.1196	0.04	0.1922	
Locus619	0.0142	-0.0434	0.0863	
Locus620	-0.0582	-0.0893	-0.0036	
Locus621	-0.0533	-0.0872	-0.0081	
Locus622	-0.0432	-0.0795	-0.0026	
Locus623	-0.0534	-0.0812	-0.0153	
Locus624	0.0025	-0.0695	0.0992	
Locus625	-0.0515	-0.0848	-0.0043	
Locus626	0.0148	-0.0435	0.0948	
Locus627	-0.0012	-0.0468	0.0542	
Locus628	7e-04	-0.0653	0.0904	
Locus629	0.0625	0.0079	0.1266	
Locus630	-0.0307	-0.0796	0.0491	
Locus631	-0.051	-0.0877	7e-04	
Locus632	-0.0636	-0.0868	-0.0227	
Locus633	-0.0668	-0.0874	-0.0402	
Locus634	-0.0268	-0.0732	0.0326	
Locus635	0.083	0.033	0.1296	
Locus636	-0.0148	-0.0697	0.0558	
Locus637	0.0145	-0.0265	0.0706	
Locus638	-0.0294	-0.0778	0.0353	
Locus639	-0.0232	-0.0796	0.0475	
Locus640	-0.0634	-0.0846	-0.0358	
Locus641	-0.0176	-0.0639	0.0371	
Locus642	-0.0372	-0.0999	0.0405	
Locus643	-0.0215	-0.0753	0.0405	
Locus644	-0.0169	-0.0722	0.0565	
Locus645	-0.0125	-0.0635	0.0603	
Locus646	-0.0569	-0.0842	-0.0085	
Locus647	0.0023	-0.0554	0.0887	
Locus648	-0.0689	-0.0883	-0.0277	
Locus649	0.0241	-0.0316	0.0874	
Locus650	0.0351	-0.0376	0.1154	
Locus651	0.0177	-0.0369	0.0829	
Locus652	-0.0303	-0.0668	0.016	
Locus653	-0.0633	-0.0886	-0.0094	
Locus654	-0.0047	-0.0599	0.0519	
Locus655	-0.0356	-0.0919	0.0295	
Locus656	-0.0229	-0.061	0.0421	
Locus657	-0.0262	-0.0668	0.0372	
Locus658	0.0278	-0.0374	0.1099	
Locus659	-0.0539	-0.085	0.0026	
Locus660	-0.0467	-0.078	0.0016	
Locus661	-0.0258	-0.0718	0.0245	
Locus662	0.0505	-0.0232	0.116	
Locus663	-0.0191	-0.0617	0.0386	
Locus664	-0.0188	-0.0657	0.0382	
Locus665	-0.0161	-0.0772	0.0691	
Locus666	0.0137	-0.0407	0.0682	
Locus667	-0.0282	-0.0872	0.0416	
Locus668	-0.0251	-0.0654	0.0424	
Locus669	-0.0422	-0.0783	0.0067	
Locus670	-0.0203	-0.0597	0.0336	
Locus671	0.0533	-0.0113	0.1175	
Locus672	0.003	-0.0547	0.0736	
Locus673	-0.0344	-0.0977	0.0415	
Locus674	-0.064	-0.0875	-0.023	
Locus675	-0.0406	-0.075	0.0131	
Locus676	-0.0221	-0.0655	0.0319	
Locus677	0.0887	0.0192	0.1455	
Locus678	-0.0473	-0.0955	0.0033	
Locus679	0.0145	-0.0514	0.0888	
Locus680	0.0124	-0.0431	0.0751	
Locus681	-0.0473	-0.0795	-0.0107	
Locus682	-0.0626	-0.0888	-0.0151	
Locus683	-0.0416	-0.0756	0.0126	
Locus684	0.0259	-0.031	0.0905	
Locus685	-0.0351	-0.0739	0.0035	
Locus686	-0.0291	-0.0852	0.0489	
Locus687	-0.0552	-0.0886	0.0149	
Locus688	-0.0584	-0.0853	-0.0086	
Locus689	-0.003	-0.0654	0.075	
Locus690	-0.0214	-0.0629	0.03	
Locus691	-0.0461	-0.0949	0.0059	
Locus692	0.0042	-0.0647	0.0802	
Locus693	-0.0058	-0.0569	0.0511	
Locus694	0.044	-0.0129	0.1274	
Locus695	-0.0423	-0.0764	0.0072	
Locus696	-0.0046	-0.0579	0.0575	
Locus697	-0.0039	-0.0591	0.0651	
Locus698	-0.0582	-0.0843	-0.0012	
Locus699	-0.0226	-0.0826	0.0483	
Locus700	-0.0251	-0.0712	0.0431	
Locus701	-0.0436	-0.0904	0.0196	
Locus702	-0.0214	-0.0693	0.05	
Locus703	-0.0206	-0.0723	0.0662	
Locus704	0.0219	-0.0533	0.1184	
Locus705	-0.0204	-0.0763	0.0685	
Locus706	-0.0475	-0.0786	0.0049	
Locus707	0.0359	-0.0208	0.1077	
Locus708	0.0502	-0.0123	0.1213	
Locus709	-0.0411	-0.0793	0.0422	
Locus710	-0.0099	-0.0614	0.0442	
Locus711	-0.0431	-0.0813	0.026	
Locus712	-0.0382	-0.0795	0.0264	
Locus713	0.0916	0.0176	0.1615	
Locus714	-0.0439	-0.0833	0.0158	
Locus715	-0.0565	-0.089	-0.0154	
Locus716	-0.0599	-0.0873	-0.0123	
Locus717	-0.0314	-0.0749	0.0334	
Locus718	-0.0274	-0.0803	0.0683	
Locus719	-0.0215	-0.0796	0.0462	
Locus720	0.0863	0.0137	0.164	
Locus721	0.0312	-0.0199	0.0975	
Locus722	-0.0112	-0.0658	0.0587	
Locus723	-0.0197	-0.074	0.0408	
Locus724	-0.0358	-0.0821	0.0279	
Locus725	-0.0312	-0.0685	0.018	
Locus726	-0.0544	-0.0883	-4e-04	
Locus727	0.0442	-0.0252	0.11	
Locus728	-0.0454	-0.0835	0.0212	
Locus729	0.0307	-0.0247	0.1125	
Locus730	-0.0062	-0.0718	0.0805	
Locus731	-0.0629	-0.0906	-0.0082	
Locus732	0.068	-0.0106	0.1572	
Locus733	-0.0459	-0.0797	0.0031	
Locus734	-0.0547	-0.0818	-0.0188	
Locus735	0.014	-0.0418	0.0679	
Locus736	-0.0451	-0.0885	0.0169	
Locus737	-0.0604	-0.0868	-0.0203	
Locus738	-0.0419	-0.0974	0.021	
Locus739	-0.0237	-0.0678	0.0444	
Locus740	0.0184	-0.0509	0.0964	
Locus741	-0.0185	-0.0738	0.0579	
Locus742	-0.0127	-0.0646	0.0575	
Locus743	-0.0374	-0.0892	0.0305	
Locus744	-0.0356	-0.081	0.0217	
Locus745	0.0225	-0.0474	0.1151	
Locus746	-0.01	-0.0574	0.0557	
Locus747	0.0046	-0.0656	0.0759	
Locus748	0.0321	-0.0446	0.1259	
Locus749	0.1049	0.0427	0.1637	
Locus750	-0.0451	-0.0912	0.0241	
Locus751	-0.0524	-0.0777	-0.0051	
Locus752	-0.033	-0.0894	0.0267	
Locus753	0.0088	-0.0494	0.0663	
Locus754	-0.0106	-0.057	0.0589	
Locus755	-0.0703	-0.0904	-0.0361	
Locus756	-0.0115	-0.0645	0.051	
Locus757	-0.0479	-0.0902	0.0034	
Locus758	-0.0171	-0.071	0.0502	
Locus759	0.0085	-0.0373	0.0805	
Locus760	0.0049	-0.0628	0.0886	
Locus761	-0.0127	-0.0701	0.0542	
Locus762	-0.0407	-0.0764	0.015	
Locus763	0.0068	-0.0385	0.0772	
Locus764	-0.0288	-0.0691	0.0277	
Locus765	-0.0577	-0.0832	-0.0187	
Locus766	-0.0039	-0.059	0.0568	
Locus767	-0.0334	-0.0745	0.0205	
Locus768	-0.0637	-0.0873	-0.0257	
Locus769	0.0042	-0.06	0.0792	
Locus770	0.0092	-0.0443	0.0705	
Locus771	0.0323	-0.033	0.1314	
Locus772	-0.0417	-0.076	0.0099	
Locus773	0.0739	-0.0052	0.1543	
Locus774	-0.0428	-0.0733	0.0026	
Locus775	0.0279	-0.0328	0.1019	
Locus776	-0.0296	-0.079	0.0422	
Locus777	-0.0483	-0.0779	-0.0052	
Locus778	-0.0302	-0.0799	0.0253	
Locus779	-0.0527	-0.0791	-0.0164	
Locus780	-0.0441	-0.0825	-0.0014	
Locus781	-0.0209	-0.0681	0.048	
Locus782	-0.0552	-0.0844	-0.0124	
Locus783	5e-04	-0.061	0.0726	
Locus784	0.0174	-0.0405	0.0934	
Locus785	-0.0223	-0.0952	0.0567	
Locus786	-0.0291	-0.0711	0.0281	
Locus787	-0.0511	-0.0798	7e-04	
Locus788	0.0215	-0.0409	0.0878	
Locus789	-0.0656	-0.0905	-0.0259	
Locus790	0.0916	0.0081	0.1838	
Locus791	-0.056	-0.0827	-0.0134	
Locus792	0.0581	-0.0065	0.1391	
Locus793	-0.044	-0.0956	0.0256	
Locus794	-0.0645	-0.0882	-0.0237	
Locus795	-0.0189	-0.0659	0.0432	
Locus796	-0.0302	-0.0738	0.02	
Locus797	-0.0271	-0.0822	0.036	
Locus798	-0.0242	-0.0683	0.0313	
Locus799	0.0117	-0.0371	0.0714	
Locus800	0.0262	-0.044	0.1067	
Locus801	-0.0325	-0.0689	0.0254	
Locus802	0.0455	-0.0129	0.1069	
Locus803	0.0166	-0.0436	0.0902	
Locus804	-0.0261	-0.0715	0.0379	
Locus805	-0.0543	-0.0828	-0.0129	
Locus806	-0.0136	-0.0623	0.0557	
Locus807	-0.0296	-0.0793	0.03	
Locus808	-0.01	-0.0726	0.0577	
Locus809	0.0562	-0.003	0.1223	
Locus810	-0.0152	-0.0639	0.0338	
Locus811	0.0138	-0.0467	0.1168	
Locus812	-0.0232	-0.0616	0.0411	
Locus813	-0.0577	-0.0868	-0.0228	
Locus814	-0.0347	-0.0866	0.0305	
Locus815	-0.0613	-0.0876	-0.014	
Locus816	0.0792	0.0089	0.1494	
Locus817	-0.0389	-0.0794	0.0114	
Locus818	-0.0442	-0.0777	0.0087	
Locus819	-0.0022	-0.0616	0.0667	
Locus820	-0.019	-0.0802	0.0566	
Locus821	-0.0091	-0.0688	0.0699	
Locus822	-0.0221	-0.068	0.04	
Locus823	-0.0241	-0.0849	0.0386	
Locus824	0.0451	-0.0215	0.1123	
Locus825	-0.0201	-0.0726	0.057	
Locus826	0.0498	-0.0191	0.1529	
Locus827	-0.0328	-0.07	0.0267	
Locus828	-0.0369	-0.0754	0.0257	
Locus829	0.0197	-0.0321	0.0753	
Locus830	-0.0161	-0.0696	0.0718	
Locus831	-0.0599	-0.0887	-0.018	
Locus832	-0.0385	-0.0737	0.0024	
Locus833	-1e-04	-0.069	0.0755	
Locus834	-0.0575	-0.0859	-0.0019	
Locus835	-0.0445	-0.0788	-0.0017	
Locus836	0.1267	0.0544	0.2039	
Locus837	0.0131	-0.0447	0.0829	
Locus838	-0.0072	-0.0609	0.063	
Locus839	-0.0527	-0.0783	-0.0168	
Locus840	-0.0226	-0.0743	0.0361	
Locus841	-0.0409	-0.0783	0.0032	
Locus842	-0.0227	-0.0609	0.0255	
Locus843	-0.0182	-0.0716	0.0606	
Locus844	-0.0556	-0.0842	-1e-04	
Locus845	-0.0486	-0.0773	-0.0056	
Locus846	-0.0241	-0.0772	0.069	
Locus847	0.0124	-0.0423	0.0853	
Locus848	-0.0414	-0.0893	0.0332	
Locus849	0.029	-0.0396	0.0872	
Locus850	-0.0381	-0.0763	0.0181	
Locus851	-0.0261	-0.0861	0.0526	
Locus852	-0.0456	-0.0767	6e-04	
Locus853	-0.0104	-0.069	0.0611	
Locus854	-0.0331	-0.0657	0.0251	
Locus855	-0.0515	-0.0844	-0.0125	
Locus856	0.0159	-0.0751	0.1155	
Locus857	-0.0369	-0.0662	0.0189	
Locus858	0.1526	0.0941	0.2302	
Locus859	-0.0154	-0.0658	0.0496	
Locus860	-0.0028	-0.057	0.0632	
Locus861	-0.0076	-0.0591	0.0616	
Locus862	-0.0274	-0.0729	0.067	
Locus863	-0.0483	-0.0781	-0.0074	
Locus864	-0.0103	-0.0563	0.0529	
Locus865	-0.0335	-0.0825	0.0327	
Locus866	0.0063	-0.0496	0.0665	
Locus867	-0.0595	-0.0842	-0.0117	
Locus868	-0.0242	-0.0692	0.0499	
Locus869	-0.0267	-0.082	0.0399	
Locus870	-0.0191	-0.0695	0.0473	
Locus871	0.0311	-0.0293	0.0885	
Locus872	-0.0128	-0.0652	0.0424	
Locus873	0.0395	-0.0159	0.1172	
Locus874	-0.0113	-0.0548	0.0501	
Locus875	-0.0095	-0.062	0.0608	
Locus876	-0.0344	-0.0703	0.0104	
Locus877	0.0174	-0.0438	0.1061	
Locus878	0.0872	0.006	0.166	
Locus879	-0.073	-0.0946	-0.0355	
Locus880	-0.0552	-0.0812	-0.0188	
Locus881	0.0019	-0.0571	0.0819	
Locus882	-0.0311	-0.0734	0.0189	
Locus883	-0.0192	-0.0863	0.0585	
Locus884	-0.0129	-0.0623	0.0638	
Locus885	-0.056	-0.0834	-0.0274	
Locus886	-0.0562	-0.0805	-0.0086	
Locus887	-0.0311	-0.0649	0.0237	
Locus888	-0.0289	-0.0718	0.0264	
Locus889	-0.0139	-0.0884	0.053	
Locus890	-0.006	-0.0689	0.0613	
Locus891	0.0203	-0.0427	0.0956	
Locus892	-0.0252	-0.064	0.0381	
Locus893	-0.0054	-0.064	0.0617	
Locus894	-0.0616	-0.0829	-0.0306	
Locus895	-0.0038	-0.0592	0.0759	
Locus896	0.0367	-0.0226	0.12	
Locus897	-0.0577	-0.0941	-0.0087	
Locus898	-0.0613	-0.0854	-0.0205	
Locus899	0.0707	-0.0037	0.1364	
Locus900	-0.0094	-0.0673	0.0535	
Locus901	-0.0274	-0.0839	0.0365	
Locus902	-0.037	-0.0793	0.028	
