loci	H_st	D_st	G_st	G_hed_st	D_jost	
Locus914	0.0235	0.0098	0.0165	0.0429	0.0268	
Locus915	0.036	0.0148	0.0246	0.0647	0.0411	
Locus916	0.0405	0.0152	0.0238	0.069	0.0463	
Locus917	0.024	0.0095	0.0153	0.0424	0.0275	
Locus918	0.0542	0.0196	0.0297	0.0898	0.062	
Locus919	0.0282	0.0106	0.0167	0.0483	0.0322	
Locus920	0.0244	0.0101	0.0168	0.0442	0.0278	
Locus921	0.0078	0.0035	0.0063	0.0151	0.0089	
Locus922	0.0078	0.0036	0.0066	0.0154	0.0089	
Locus923	0.0334	0.0149	0.0261	0.0633	0.0381	
Locus924	0.0133	0.0058	0.0101	0.0252	0.0152	
Locus925	0.0099	0.0044	0.008	0.0192	0.0113	
Locus926	0.0252	0.0106	0.0179	0.0462	0.0288	
Locus927	0.0239	0.0105	0.0185	0.0454	0.0274	
Locus928	0.049	0.0179	0.0275	0.0819	0.056	
Locus929	0.0134	0.0059	0.0105	0.0256	0.0153	
Locus930	0.017	0.0079	0.0145	0.0337	0.0195	
Locus931	0.0287	0.0127	0.0224	0.0544	0.0328	
Locus932	0.0102	0.0046	0.0082	0.0198	0.0117	
Locus933	0.0182	0.008	0.0139	0.0344	0.0208	
Locus934	0.0974	0.0415	0.0675	0.1713	0.1113	
Locus935	0.0097	0.0045	0.0083	0.0193	0.011	
Locus936	0.057	0.022	0.0345	0.0974	0.0651	
Locus937	0.0242	0.0107	0.0187	0.0458	0.0276	
Locus938	0.0134	0.0064	0.0121	0.0273	0.0154	
Locus939	0.0166	0.0074	0.0132	0.0319	0.019	
Locus940	0.0395	0.0148	0.023	0.0671	0.0451	
Locus941	0.0695	0.0265	0.041	0.1171	0.0794	
Locus942	0.1181	0.0525	0.0864	0.2097	0.135	
Locus943	0.0147	0.0068	0.0126	0.0292	0.0168	
Locus944	0.0439	0.0184	0.0306	0.0793	0.0502	
Locus945	0.0118	0.0054	0.0099	0.0232	0.0135	
Locus946	0.0569	0.0207	0.0315	0.0944	0.065	
Locus947	0.0313	0.0127	0.0208	0.0559	0.0358	
Locus948	0.0336	0.0137	0.0227	0.0602	0.0384	
Locus949	0.02	0.0089	0.0159	0.0384	0.0229	
Locus950	0.055	0.0226	0.037	0.0976	0.0629	
Locus951	0.0438	0.0172	0.0274	0.0761	0.0501	
Locus952	0.0285	0.0126	0.022	0.0539	0.0326	
Locus953	0.0637	0.0249	0.0393	0.1092	0.0728	
Locus954	0.0375	0.0164	0.0284	0.07	0.0428	
Locus955	0.0383	0.0142	0.0222	0.065	0.0438	
Locus956	0.0536	0.0201	0.0312	0.0905	0.0613	
Locus957	0.0441	0.0177	0.0288	0.0777	0.0504	
Locus958	0.0891	0.0379	0.062	0.1576	0.1019	
Locus959	0.0069	0.0032	0.0059	0.0137	0.0078	
Locus960	0.0312	0.0119	0.0189	0.0539	0.0357	
Locus961	0.0287	0.0134	0.0244	0.0565	0.0328	
Locus962	0.0612	0.025	0.0406	0.1077	0.07	
Locus963	0.0171	0.0083	0.016	0.0352	0.0195	
Locus964	0.012	0.0057	0.0107	0.0243	0.0137	
Locus965	0.0497	0.0182	0.0279	0.0831	0.0568	
Locus966	0.0331	0.0144	0.025	0.0619	0.0378	
Locus967	0.0344	0.0159	0.0287	0.0669	0.0394	
Locus968	0.0358	0.0141	0.0228	0.0627	0.0409	
Locus969	0.0289	0.0126	0.022	0.0543	0.033	
Locus970	0.0377	0.0173	0.0309	0.0727	0.0431	
Locus971	0.0542	0.021	0.0333	0.0932	0.062	
Locus972	0.0192	0.0077	0.0126	0.0343	0.0219	
Locus973	0.0622	0.0229	0.0349	0.1036	0.0711	
Locus974	0.0692	0.0257	0.0392	0.1152	0.0791	
Locus975	0.0353	0.0134	0.0212	0.0607	0.0404	
Locus976	0.0395	0.0168	0.0285	0.0723	0.0451	
Locus977	0.0127	0.0057	0.0102	0.0246	0.0146	
Locus978	0.0477	0.0208	0.0357	0.0883	0.0545	
Locus979	0.0531	0.0219	0.036	0.0945	0.0606	
Locus980	0.0198	0.0077	0.0124	0.0347	0.0226	
Locus981	0.0672	0.0279	0.0456	0.1188	0.0768	
Locus982	0.0473	0.0202	0.034	0.0863	0.0541	
Locus983	0.0534	0.0236	0.0406	0.0991	0.061	
Locus984	0.0362	0.013	0.0198	0.0604	0.0414	
Locus985	0.0146	0.0062	0.0106	0.0271	0.0167	
Locus986	0.0135	0.0058	0.0101	0.0254	0.0155	
Locus987	0.0406	0.0147	0.0226	0.0679	0.0464	
Locus988	0.0584	0.0218	0.0335	0.0981	0.0668	
Locus989	0.0468	0.0196	0.0325	0.0842	0.0534	
Locus990	0.0642	0.025	0.0393	0.1098	0.0734	
Locus991	0.0095	0.0043	0.0078	0.0185	0.0108	
Locus992	0.0557	0.0199	0.0302	0.0919	0.0636	
Locus993	0.0109	0.0048	0.0085	0.0209	0.0125	
Locus994	0.0593	0.0219	0.0336	0.0992	0.0678	
Locus995	0.0115	0.0054	0.01	0.023	0.0132	
Locus996	0.0562	0.0214	0.0335	0.0955	0.0642	
Locus997	0.0159	0.007	0.0123	0.0302	0.0182	
Locus998	0.0279	0.012	0.0207	0.0519	0.0318	
Locus999	0.0531	0.0191	0.0291	0.088	0.0607	
Locus1000	0.0232	0.0105	0.0187	0.0447	0.0265	
Locus1001	0.0616	0.0268	0.0453	0.1126	0.0704	
Locus1002	0.0135	0.0061	0.0111	0.0264	0.0155	
Locus1003	0.0492	0.0198	0.032	0.0864	0.0562	
Locus1004	0.0179	0.0084	0.0158	0.0359	0.0204	
Locus1005	0.032	0.0125	0.0202	0.056	0.0366	
Locus1006	0.0076	0.0034	0.0061	0.0147	0.0087	
Locus1007	0.0368	0.0144	0.0231	0.0641	0.042	
Locus1008	0.0326	0.0125	0.02	0.0565	0.0372	
Locus1009	0.0197	0.0086	0.015	0.0372	0.0225	
Locus1010	0.0155	0.0071	0.0131	0.0306	0.0177	
Locus1011	0.0341	0.0132	0.021	0.0592	0.039	
Locus1012	0.0395	0.0154	0.0247	0.0687	0.0451	
Locus1013	0.1033	0.0441	0.0714	0.1811	0.1181	
Locus1014	0.0308	0.0138	0.0243	0.0586	0.0352	
Locus1015	0.0202	0.0088	0.0154	0.0381	0.0231	
Locus1016	0.0289	0.0107	0.0167	0.0492	0.033	
Locus1017	0.0079	0.0036	0.0066	0.0156	0.009	
Locus1018	0.0492	0.0177	0.0269	0.0816	0.0562	
Locus1019	0.0768	0.0289	0.0444	0.1282	0.0877	
Locus1020	0.0841	0.0377	0.0641	0.154	0.0961	
Locus1021	0.0167	0.0078	0.0144	0.0333	0.0191	
Locus1022	0.01	0.0047	0.0089	0.0203	0.0115	
Locus1023	0.0347	0.0135	0.0216	0.0605	0.0397	
Locus1024	0.0335	0.0129	0.0207	0.0582	0.0383	
Locus1025	0.0148	0.0064	0.0112	0.0279	0.0169	
Locus1026	0.0612	0.0257	0.0425	0.1095	0.07	
Locus1027	0.0272	0.0097	0.0149	0.0454	0.031	
Locus1028	0.0434	0.0195	0.0343	0.0822	0.0496	
Locus1029	0.0429	0.0176	0.029	0.0766	0.049	
Locus1030	0.0057	0.0026	0.0048	0.0113	0.0065	
Locus1031	0.0195	0.0091	0.0169	0.0388	0.0223	
Locus1032	0.0534	0.021	0.0334	0.0924	0.061	
Locus1033	0.0339	0.015	0.0262	0.0639	0.0387	
Locus1034	0.0303	0.011	0.017	0.051	0.0346	
Locus1035	0.0288	0.0115	0.0189	0.0511	0.0329	
Locus1036	0.0675	0.025	0.0382	0.1124	0.0771	
Locus1037	0.0465	0.0183	0.0294	0.081	0.0531	
Locus1038	0.0448	0.0188	0.0313	0.0809	0.0512	
Locus1039	0.0465	0.017	0.0261	0.0778	0.0532	
Locus1040	0.0399	0.015	0.0235	0.068	0.0456	
Locus1041	0.0123	0.0058	0.0109	0.0248	0.0141	
Locus1042	0.0512	0.0203	0.0326	0.0891	0.0585	
Locus1043	0.0216	0.0094	0.0164	0.0407	0.0247	
Locus1044	0.0484	0.0213	0.0367	0.09	0.0554	
Locus1045	0.0446	0.0205	0.0365	0.0856	0.051	
Locus1046	0.0215	0.0077	0.0119	0.0361	0.0245	
Locus1047	0.0709	0.029	0.0468	0.124	0.081	
Locus1048	0.028	0.0116	0.0193	0.0507	0.032	
Locus1049	0.0237	0.0099	0.0166	0.0432	0.0271	
Locus1050	0.0452	0.0179	0.0287	0.0789	0.0517	
Locus1051	0.046	0.0193	0.0321	0.0831	0.0526	
Locus1052	0.0347	0.0137	0.0222	0.0609	0.0397	
Locus1053	0.0526	0.0206	0.0327	0.0908	0.0601	
Locus1054	0.0961	0.0412	0.0673	0.1698	0.1098	
Locus1055	0.0136	0.0061	0.0109	0.0262	0.0155	
Locus1056	0.0066	0.0032	0.0063	0.0137	0.0075	
Locus1057	0.0231	0.0093	0.0154	0.0414	0.0264	
Locus1058	0.0187	0.0072	0.0117	0.0328	0.0213	
Locus1059	0.0333	0.0122	0.0188	0.0562	0.0381	
Locus1060	0.0607	0.0255	0.042	0.1084	0.0693	
Locus1061	0.0293	0.0117	0.0191	0.0519	0.0335	
Locus1062	0.0477	0.0174	0.0267	0.0797	0.0545	
Locus1063	0.1063	0.0406	0.0616	0.1756	0.1215	
Locus1064	0.0403	0.0186	0.0335	0.078	0.0461	
Locus1065	0.0272	0.01	0.0156	0.0462	0.031	
Locus1066	0.031	0.0143	0.0258	0.0604	0.0355	
Locus1067	0.0418	0.0175	0.0292	0.0755	0.0477	
Locus1068	0.0254	0.0103	0.0169	0.0455	0.0291	
Locus1069	0.0165	0.0077	0.0142	0.0328	0.0188	
Locus1070	0.05	0.0208	0.0343	0.0894	0.0571	
Locus1071	0.0313	0.0111	0.017	0.0522	0.0358	
Locus1072	0.0362	0.0136	0.0214	0.0619	0.0414	
Locus1073	0.0522	0.0208	0.0335	0.0912	0.0597	
Locus1074	0.034	0.0156	0.028	0.0658	0.0389	
Locus1075	0.0456	0.0198	0.0338	0.0842	0.0521	
Locus1076	0.007	0.0032	0.006	0.0139	0.008	
Locus1077	0.0273	0.0118	0.0203	0.0509	0.0312	
Locus1078	0.027	0.0116	0.0198	0.0501	0.0309	
Locus1079	0.0437	0.018	0.0297	0.0782	0.05	
Locus1080	0.0212	0.0101	0.019	0.0428	0.0243	
Locus1081	0.0143	0.0059	0.0099	0.0261	0.0164	
Locus1082	0.0428	0.0156	0.0238	0.0716	0.0489	
Locus1083	0.0472	0.0223	0.0405	0.0923	0.054	
Locus1084	0.0115	0.0047	0.0078	0.0208	0.0131	
Locus1085	0.0545	0.0251	0.0444	0.1039	0.0623	
Locus1086	0.013	0.0059	0.0108	0.0255	0.0149	
Locus1087	0.0192	0.0084	0.0148	0.0364	0.022	
Locus1088	0.0482	0.0175	0.0267	0.0803	0.0551	
Locus1089	0.0451	0.0166	0.0256	0.0758	0.0515	
Locus1090	0.0486	0.018	0.0278	0.0818	0.0555	
Locus1091	0.0061	0.0028	0.0052	0.0122	0.007	
Locus1092	0.0205	0.0088	0.0151	0.0382	0.0235	
Locus1093	0.0142	0.0067	0.0124	0.0284	0.0163	
Locus1094	0.0323	0.0142	0.0246	0.0606	0.0369	
Locus1095	0.0416	0.0159	0.0251	0.0714	0.0476	
Locus1096	0.0543	0.0207	0.0324	0.0925	0.0621	
Locus1097	0.028	0.0131	0.0239	0.0552	0.032	
Locus1098	0.0402	0.0178	0.0309	0.0754	0.0459	
Locus1099	0.0493	0.0222	0.0388	0.093	0.0564	
Locus1100	0.0325	0.0137	0.0232	0.0594	0.0371	
Locus1101	0.0126	0.0058	0.0105	0.0247	0.0144	
Locus1102	0.0312	0.0118	0.0185	0.0535	0.0357	
Locus1103	0.0352	0.0142	0.0233	0.0625	0.0402	
Locus1104	0.063	0.0257	0.0415	0.1106	0.072	
Locus1105	0.0101	0.0047	0.0086	0.02	0.0116	
Locus1106	0.0115	0.0052	0.0094	0.0224	0.0131	
Locus1107	0.0295	0.0131	0.0231	0.056	0.0337	
Locus1108	0.0131	0.0059	0.0106	0.0255	0.015	
Locus1109	0.0237	0.0106	0.0189	0.0456	0.0271	
Locus1110	0.0436	0.0177	0.0288	0.0773	0.0499	
Locus1111	0.0721	0.0311	0.0518	0.1299	0.0824	
Locus1112	0.031	0.0135	0.0233	0.0579	0.0354	
Locus1113	0.0155	0.0072	0.0132	0.0307	0.0177	
Locus1114	0.026	0.0114	0.0198	0.0489	0.0297	
Locus1115	0.0386	0.0148	0.0233	0.0665	0.0442	
Locus1116	0.1262	0.0527	0.083	0.2152	0.1442	
Locus1117	0.0269	0.0126	0.0232	0.0532	0.0308	
Locus1118	0.041	0.0149	0.0228	0.0686	0.0468	
Locus1119	0.082	0.0362	0.0608	0.1488	0.0938	
Locus1120	0.026	0.0106	0.0177	0.0469	0.0297	
Locus1121	0.0923	0.0382	0.0612	0.1603	0.1055	
Locus1122	0.0138	0.0066	0.0126	0.0282	0.0157	
Locus1123	0.0263	0.0107	0.0177	0.0472	0.03	
Locus1124	0.0543	0.0215	0.0344	0.0944	0.0621	
Locus1125	0.0167	0.0078	0.0144	0.0332	0.0191	
Locus1126	0.0837	0.0373	0.0631	0.1527	0.0956	
Locus1127	0.0205	0.0088	0.0151	0.0383	0.0235	
Locus1128	0.0385	0.0162	0.0273	0.07	0.044	
Locus1129	0.0181	0.0072	0.0118	0.0323	0.0207	
Locus1130	0.0268	0.0119	0.0208	0.0508	0.0306	
Locus1131	0.0666	0.0257	0.0401	0.1131	0.0761	
Locus1132	0.0382	0.0135	0.0204	0.0632	0.0437	
Locus1133	0.0113	0.0054	0.0104	0.0231	0.0129	
Locus1134	0.029	0.0113	0.0182	0.0507	0.0331	
Locus1135	0.0455	0.0179	0.0287	0.0792	0.052	
Locus1136	0.0146	0.007	0.0132	0.0296	0.0166	
Locus1137	0.0464	0.0185	0.0299	0.0814	0.0531	
Locus1138	0.0167	0.0073	0.0128	0.0316	0.019	
Locus1139	0.0335	0.0121	0.0186	0.0561	0.0382	
Locus1140	0.0252	0.0101	0.0166	0.0449	0.0288	
Locus1141	0.0306	0.0136	0.0237	0.0579	0.035	
Locus1142	0.0406	0.0168	0.0278	0.0728	0.0464	
Locus1143	0.0175	0.0081	0.015	0.0347	0.02	
Locus1144	0.0556	0.0201	0.0306	0.0921	0.0635	
Locus1145	0.0566	0.0209	0.032	0.0946	0.0646	
Locus1146	0.0111	0.0052	0.0096	0.0222	0.0127	
Locus1147	0.0441	0.0201	0.0355	0.0841	0.0504	
Locus1148	0.045	0.0172	0.027	0.0771	0.0514	
Locus1149	0.0399	0.0164	0.0271	0.0715	0.0456	
Locus1150	0.0408	0.0172	0.0287	0.074	0.0466	
Locus1151	0.0438	0.0171	0.0274	0.076	0.05	
Locus1152	0.0591	0.0231	0.0365	0.1016	0.0676	
Locus1153	0.0229	0.0103	0.0183	0.044	0.0262	
Locus1154	0.0302	0.012	0.0195	0.0533	0.0345	
Locus1155	0.0485	0.0194	0.0312	0.0849	0.0555	
Locus1156	0.0419	0.016	0.0252	0.0719	0.0479	
Locus1157	0.0519	0.022	0.0369	0.094	0.0593	
Locus1158	0.019	0.0073	0.0117	0.0332	0.0218	
Locus1159	0.0144	0.0067	0.0125	0.0287	0.0164	
Locus1160	0.0191	0.0069	0.0107	0.0323	0.0218	
Locus1161	0.0201	0.0092	0.0167	0.0393	0.023	
Locus1162	0.0272	0.0109	0.0179	0.0484	0.0311	
Locus1163	0.0322	0.0128	0.021	0.0569	0.0368	
Locus1164	0.0244	0.0085	0.0129	0.0404	0.0279	
Locus1165	0.0238	0.0087	0.0135	0.0402	0.0271	
Locus1166	0.0155	0.0069	0.0122	0.0297	0.0177	
Locus1167	0.0881	0.034	0.0523	0.1478	0.1007	
Locus1168	0.0469	0.0211	0.0368	0.0885	0.0536	
Locus1169	0.0238	0.0101	0.0174	0.0441	0.0272	
Locus1170	0.0507	0.0181	0.0275	0.0838	0.0579	
Locus1171	0.0405	0.0153	0.0239	0.0691	0.0463	
Locus1172	0.0395	0.0154	0.0247	0.0687	0.0451	
Locus1173	0.0556	0.0208	0.0322	0.0937	0.0636	
Locus1174	0.0743	0.033	0.0561	0.1362	0.0849	
Locus1175	0.0697	0.027	0.0423	0.1186	0.0797	
Locus1176	0.055	0.0198	0.0301	0.0911	0.0629	
Locus1177	0.0552	0.021	0.0328	0.0938	0.063	
Locus1178	0.0273	0.0126	0.0228	0.0533	0.0311	
Locus1179	0.0235	0.0098	0.0166	0.043	0.0268	
Locus1180	0.0649	0.024	0.0366	0.1081	0.0742	
Locus1181	0.0338	0.0124	0.0193	0.0571	0.0386	
Locus1182	0.0229	0.0081	0.0124	0.0382	0.0261	
Locus1183	0.0572	0.0213	0.0328	0.0961	0.0654	
Locus1184	0.0161	0.006	0.0096	0.0278	0.0184	
Locus1185	0.0986	0.0402	0.0636	0.1691	0.1127	
Locus1186	0.0226	0.008	0.0122	0.0376	0.0258	
Locus1187	0.0372	0.0153	0.0252	0.0666	0.0425	
Locus1188	0.0266	0.0095	0.0146	0.0445	0.0304	
Locus1189	0.0677	0.0269	0.0428	0.1169	0.0774	
Locus1190	0.035	0.0132	0.0207	0.0599	0.04	
Locus1191	0.0454	0.0166	0.0255	0.0761	0.0519	
Locus1192	0.0452	0.0164	0.025	0.0754	0.0517	
Locus1193	0.0482	0.0191	0.0306	0.084	0.0551	
Locus1194	0.0808	0.0361	0.0611	0.1479	0.0924	
Locus1195	0.0401	0.0156	0.0249	0.0696	0.0459	
Locus1196	0.0548	0.0209	0.0327	0.0933	0.0626	
Locus1197	0.0707	0.0256	0.0385	0.1162	0.0808	
Locus1198	0.0195	0.0087	0.0153	0.0372	0.0223	
Locus1199	0.0739	0.0285	0.0442	0.125	0.0845	
Locus1200	0.0168	0.0077	0.0141	0.033	0.0192	
Global			0.0234	0.0605	0.0379	
