loci	gst	Gst	GGst	D	Fis	Fst	Fit
Locus715	 0.0112	 0.0129	 0.0145	 0.0017	 0.1264	 0.0099	 0.1351
Locus716	 0.0090	 0.0104	 0.0117	 0.0014	 0.2941	-0.0077	 0.2886
Locus717	 0.0529	 0.0636	 0.0706	 0.0113	 0.1391	 0.0531	 0.1848
Locus718	 0.0726	 0.0829	 0.0923	 0.0111	 0.0467	 0.0768	 0.1199
Locus719	 0.0194	 0.0338	 0.0365	 0.0147	 0.3086	 0.0100	 0.3155
Locus720	 0.2675	 0.3503	 0.3742	 0.1130	 0.0879	 0.3011	 0.3625
Locus721	 0.1799	 0.2570	 0.2757	 0.0940	 0.6504	 0.1776	 0.7125
Locus722	 0.0671	 0.0831	 0.0918	 0.0172	 0.0809	 0.0614	 0.1374
Locus723	-0.0132	-0.0194	-0.0213	-0.0061	 0.0725	-0.0169	 0.0568
Locus724	 0.0364	 0.0410	 0.0460	 0.0048	 0.1579	 0.0374	 0.1894
Locus725	 0.1323	 0.1504	 0.1661	 0.0209	 0.2214	 0.1456	 0.3348
Locus726	-0.0122	-0.0162	-0.0179	-0.0039	 0.0854	-0.0165	 0.0703
Locus727	 0.1775	 0.2888	 0.3064	 0.1353	 0.4966	 0.1775	 0.5859
Locus728	 0.0123	 0.0159	 0.0176	 0.0036	 0.0932	 0.0107	 0.1029
Locus729	 0.2096	 0.2726	 0.2937	 0.0796	 0.5639	 0.2166	 0.6584
Locus730	 0.0296	 0.0591	 0.0631	 0.0304	-0.1595	 0.0417	-0.1112
Locus731	-0.0139	-0.0177	-0.0197	-0.0037	 0.2581	-0.0273	 0.2379
Locus732	 0.0764	 0.1258	 0.1352	 0.0535	 0.0196	 0.0878	 0.1057
Locus733	 0.0275	 0.0323	 0.0361	 0.0049	 0.0703	 0.0245	 0.0931
Locus734	-0.0063	-0.0077	-0.0086	-0.0014	 0.0666	-0.0124	 0.0550
Locus735	 0.0350	 0.0687	 0.0733	 0.0349	 0.4267	 0.0232	 0.4401
Locus736	 0.0446	 0.0547	 0.0607	 0.0106	 0.1222	 0.0497	 0.1658
Locus737	 0.0594	 0.0684	 0.0762	 0.0095	 0.6333	 0.0372	 0.6469
Locus738	 0.0135	 0.0244	 0.0263	 0.0110	 0.2814	 0.0027	 0.2833
Locus739	 0.0540	 0.0638	 0.0710	 0.0104	 0.1933	 0.0463	 0.2306
Locus740	 0.0374	 0.0517	 0.0567	 0.0148	-0.0483	 0.0418	-0.0045
Locus741	 0.0187	 0.0386	 0.0411	 0.0202	 0.3899	 0.0038	 0.3922
Locus742	-0.0206	-0.0325	-0.0355	-0.0116	 0.5079	-0.0525	 0.4821
Locus743	-0.0010	-0.0018	-0.0019	-0.0008	-0.1208	 0.0046	-0.1156
Locus744	-0.0144	-0.0218	-0.0239	-0.0073	 0.2557	-0.0275	 0.2352
Locus745	 0.1471	 0.1935	 0.2101	 0.0544	 0.3041	 0.1529	 0.4104
Locus746	 0.1690	 0.1982	 0.2171	 0.0351	 0.2608	 0.1846	 0.3973
Locus747	 0.0141	 0.0241	 0.0260	 0.0101	-0.0662	 0.0217	-0.0431
Locus748	 0.0186	 0.0367	 0.0393	 0.0185	 0.2936	 0.0039	 0.2964
Locus749	 0.2455	 0.3623	 0.3839	 0.1548	 0.2842	 0.2551	 0.4668
Locus750	 0.0611	 0.0758	 0.0838	 0.0157	 0.0642	 0.0691	 0.1288
Locus751	 0.0178	 0.0201	 0.0226	 0.0024	 0.5834	-0.0135	 0.5777
Locus752	 0.0023	 0.0050	 0.0053	 0.0027	 0.1812	-0.0123	 0.1712
Locus753	 0.0649	 0.1201	 0.1281	 0.0589	 0.4660	 0.0492	 0.4923
Locus754	 0.0471	 0.0645	 0.0707	 0.0182	 0.5063	 0.0293	 0.5208
Locus755	 0.0040	 0.0045	 0.0051	 0.0005	 0.1617	-0.0044	 0.1580
Locus756	 0.0429	 0.0873	 0.0929	 0.0464	 0.0445	 0.0480	 0.0903
Locus757	-0.0034	-0.0051	-0.0055	-0.0017	 0.3625	-0.0212	 0.3490
Locus758	 0.0019	 0.0039	 0.0041	 0.0020	 0.1398	-0.0083	 0.1327
Locus759	 0.0656	 0.1061	 0.1144	 0.0434	 0.4296	 0.0540	 0.4604
Locus760	 0.0199	 0.0377	 0.0405	 0.0182	 0.2053	 0.0139	 0.2163
Locus761	 0.0425	 0.0612	 0.0669	 0.0195	 0.0523	 0.0487	 0.0985
Locus762	-0.0243	-0.0357	-0.0393	-0.0112	 0.4670	-0.0506	 0.4400
Locus763	 0.0694	 0.0917	 0.1006	 0.0239	 0.0637	 0.0710	 0.1302
Locus764	 0.0064	 0.0085	 0.0094	 0.0021	-0.0562	 0.0124	-0.0431
Locus765	-0.0075	-0.0096	-0.0107	-0.0021	 0.3706	-0.0263	 0.3540
Locus766	 0.1056	 0.1391	 0.1519	 0.0375	 0.4396	 0.1017	 0.4966
Locus767	 0.0082	 0.0121	 0.0132	 0.0039	 0.3622	-0.0082	 0.3569
Locus768	-0.0046	-0.0055	-0.0062	-0.0009	 0.0829	-0.0094	 0.0743
Locus769	 0.0690	 0.0920	 0.1009	 0.0247	-0.1510	 0.0858	-0.0522
Locus770	 0.0196	 0.0398	 0.0425	 0.0206	 0.5298	-0.0022	 0.5288
Locus771	 0.0187	 0.0313	 0.0339	 0.0128	-0.0670	 0.0225	-0.0430
Locus772	 0.0002	 0.0003	 0.0003	 0.0001	 0.2662	-0.0113	 0.2579
Locus773	 0.0825	 0.1450	 0.1549	 0.0681	 0.1680	 0.0782	 0.2330
Locus774	 0.0811	 0.0912	 0.1016	 0.0110	 0.8773	 0.0599	 0.8847
Locus775	 0.0947	 0.1542	 0.1655	 0.0657	 0.4505	 0.0820	 0.4956
Locus776	-0.0142	-0.0273	-0.0294	-0.0129	 0.2043	-0.0246	 0.1847
Locus777	 0.0581	 0.0637	 0.0714	 0.0059	 0.5412	 0.0387	 0.5589
Locus778	 0.0726	 0.0918	 0.1012	 0.0208	 0.1649	 0.0712	 0.2243
Locus779	-0.0234	-0.0302	-0.0336	-0.0066	 0.5275	-0.0533	 0.5023
Locus780	 0.0319	 0.0392	 0.0435	 0.0075	 0.4891	 0.0113	 0.4949
Locus781	 0.0103	 0.0159	 0.0174	 0.0057	 0.4003	-0.0064	 0.3964
Locus782	 0.0566	 0.0659	 0.0733	 0.0098	 0.2224	 0.0521	 0.2629
Locus783	 0.0835	 0.1178	 0.1282	 0.0374	 0.2222	 0.0861	 0.2891
Locus784	 0.0849	 0.1472	 0.1574	 0.0681	 0.3380	 0.0757	 0.3881
Locus785	 0.0117	 0.0175	 0.0192	 0.0059	-0.1775	 0.0217	-0.1520
Locus786	 0.0111	 0.0169	 0.0184	 0.0058	 0.3909	-0.0096	 0.3851
Locus787	 0.0620	 0.0719	 0.0800	 0.0105	 0.3954	 0.0528	 0.4273
Locus788	 0.0243	 0.0397	 0.0430	 0.0158	 0.4549	 0.0029	 0.4564
Locus789	-0.0072	-0.0082	-0.0092	-0.0010	 0.1691	-0.0153	 0.1564
Locus790	 0.1991	 0.3315	 0.3500	 0.1654	-0.0448	 0.2291	 0.1946
Locus791	 0.0347	 0.0403	 0.0450	 0.0058	 0.4573	 0.0229	 0.4697
Locus792	 0.1141	 0.1908	 0.2038	 0.0865	 0.2075	 0.1233	 0.3052
Locus793	-0.0128	-0.0276	-0.0295	-0.0147	 0.5218	-0.0406	 0.5024
Locus794	 0.0876	 0.0981	 0.1092	 0.0115	 0.7764	 0.0687	 0.7918
Locus795	 0.1033	 0.1256	 0.1383	 0.0248	 0.3591	 0.1040	 0.4258
Locus796	 0.0001	 0.0002	 0.0002	 0.0001	 0.3484	-0.0153	 0.3384
Locus797	-0.0067	-0.0104	-0.0114	-0.0037	 0.3019	-0.0215	 0.2869
Locus798	 0.1247	 0.1517	 0.1666	 0.0308	 0.6025	 0.0976	 0.6413
Locus799	 0.0939	 0.1250	 0.1366	 0.0343	 0.2690	 0.0893	 0.3343
Locus800	 0.0887	 0.1738	 0.1841	 0.0933	 0.1344	 0.0898	 0.2121
Locus801	 0.0302	 0.0439	 0.0480	 0.0141	 0.2311	 0.0180	 0.2449
Locus802	 0.0082	 0.0175	 0.0187	 0.0094	 0.1858	 0.0015	 0.1871
Locus803	 0.0583	 0.0941	 0.1015	 0.0380	 0.4162	 0.0491	 0.4449
Locus804	 0.1215	 0.1552	 0.1697	 0.0384	 0.5831	 0.1045	 0.6267
Locus805	 0.0298	 0.0354	 0.0395	 0.0058	 0.8473	-0.0108	 0.8457
Locus806	 0.0499	 0.0727	 0.0792	 0.0239	 0.2858	 0.0501	 0.3216
Locus807	 0.0673	 0.0781	 0.0869	 0.0116	 0.0437	 0.0801	 0.1203
Locus808	 0.0245	 0.0416	 0.0449	 0.0175	 0.2015	 0.0119	 0.2110
Locus809	 0.1387	 0.2542	 0.2687	 0.1342	 0.1496	 0.1579	 0.2839
Locus810	 0.1325	 0.1585	 0.1741	 0.0299	 0.0519	 0.1519	 0.1958
Locus811	 0.1351	 0.1590	 0.1749	 0.0276	 0.1349	 0.1570	 0.2708
Locus812	 0.0216	 0.0300	 0.0330	 0.0086	-0.0225	 0.0286	 0.0067
Locus813	 0.0468	 0.0563	 0.0626	 0.0100	 0.1441	 0.0501	 0.1870
Locus814	-0.0229	-0.0366	-0.0400	-0.0134	 0.2435	-0.0377	 0.2149
Locus815	 0.0381	 0.0419	 0.0471	 0.0040	 0.1942	 0.0362	 0.2234
Locus816	 0.1444	 0.2600	 0.2750	 0.1352	 0.2778	 0.1540	 0.3890
Locus817	 0.1049	 0.1279	 0.1408	 0.0257	 0.6510	 0.0829	 0.6799
Locus818	 0.0760	 0.0870	 0.0968	 0.0119	 0.4915	 0.0593	 0.5217
Locus819	 0.0606	 0.0932	 0.1010	 0.0347	 0.1817	 0.0536	 0.2255
Locus820	 0.0233	 0.0406	 0.0437	 0.0177	-0.0310	 0.0266	-0.0036
Locus821	 0.0114	 0.0138	 0.0154	 0.0025	 0.4976	-0.0162	 0.4895
Locus822	 0.1021	 0.1234	 0.1360	 0.0237	 0.2407	 0.1121	 0.3258
Locus823	 0.0043	 0.0068	 0.0074	 0.0025	 0.0669	 0.0056	 0.0721
Locus824	 0.1489	 0.2680	 0.2832	 0.1399	 0.4609	 0.1642	 0.5495
Locus825	 0.0309	 0.0574	 0.0616	 0.0274	-0.1775	 0.0463	-0.1230
Locus826	 0.0845	 0.1656	 0.1756	 0.0886	 0.2929	 0.0817	 0.3506
Locus827	 0.0307	 0.0412	 0.0454	 0.0109	 0.5137	 0.0086	 0.5178
Locus828	 0.0487	 0.0602	 0.0667	 0.0120	 0.4030	 0.0309	 0.4215
Locus829	 0.1677	 0.2211	 0.2393	 0.0642	 0.2452	 0.1840	 0.3841
Locus830	 0.0995	 0.1268	 0.1391	 0.0304	 0.2342	 0.0994	 0.3104
Locus831	-0.0026	-0.0033	-0.0037	-0.0007	 0.2733	-0.0152	 0.2623
Locus832	 0.0699	 0.0841	 0.0932	 0.0153	 0.4221	 0.0597	 0.4566
Locus833	 0.0215	 0.0330	 0.0360	 0.0118	-0.0785	 0.0308	-0.0453
Locus834	 0.0107	 0.0126	 0.0141	 0.0019	 0.0859	 0.0094	 0.0945
Locus835	 0.0584	 0.0738	 0.0815	 0.0164	 0.5777	 0.0334	 0.5918
Locus836	 0.2379	 0.4065	 0.4260	 0.2213	 0.3880	 0.2706	 0.5536
Locus837	 0.0176	 0.0357	 0.0382	 0.0184	 0.4447	-0.0046	 0.4421
Locus838	 0.1206	 0.1467	 0.1612	 0.0297	 0.2784	 0.1033	 0.3529
Locus839	 0.0415	 0.0523	 0.0579	 0.0113	 0.7042	 0.0096	 0.7070
Locus840	 0.0083	 0.0133	 0.0145	 0.0050	 0.4007	-0.0208	 0.3882
Locus841	 0.0313	 0.0450	 0.0493	 0.0141	 0.5707	 0.0116	 0.5757
Locus842	 0.1198	 0.1385	 0.1530	 0.0211	 0.6823	 0.1002	 0.7141
Locus843	 0.0707	 0.1022	 0.1111	 0.0338	 0.4399	 0.0649	 0.4762
Locus844	 0.0629	 0.0721	 0.0803	 0.0098	 0.0807	 0.0652	 0.1406
Locus845	-0.0100	-0.0113	-0.0128	-0.0013	 0.1976	-0.0193	 0.1822
Locus846	 0.0021	 0.0039	 0.0042	 0.0017	-0.0273	 0.0058	-0.0214
Locus847	 0.1245	 0.1917	 0.2059	 0.0768	 0.5657	 0.1175	 0.6168
Locus848	-0.0121	-0.0214	-0.0232	-0.0092	-0.0085	-0.0144	-0.0230
Locus849	 0.0882	 0.1651	 0.1755	 0.0843	 0.1560	 0.0977	 0.2385
Locus850	 0.1322	 0.1501	 0.1658	 0.0206	 0.6745	 0.1249	 0.7151
Locus851	-0.0186	-0.0324	-0.0352	-0.0136	 0.0718	-0.0247	 0.0489
Locus852	 0.0734	 0.0896	 0.0991	 0.0175	 0.6625	 0.0489	 0.6790
Locus853	-0.0048	-0.0089	-0.0096	-0.0041	 0.3598	-0.0224	 0.3455
Locus854	 0.0898	 0.1037	 0.1150	 0.0153	 0.6194	 0.0731	 0.6473
Locus855	 0.0746	 0.0901	 0.0997	 0.0168	 0.2695	 0.0761	 0.3251
Locus856	 0.0143	 0.0231	 0.0251	 0.0090	 0.2207	 0.0083	 0.2271
Locus857	 0.0080	 0.0092	 0.0104	 0.0013	 0.3703	-0.0079	 0.3653
