Locus 95% CIs

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008
Fst = Weir & Cockerham, 1984
Fis = Weir & Cockerham, 1984
Fit = Weir & Cockerham, 1984


gst

locus	actual	lower	upper
Locus235	 0.0393	-0.0734	 0.1559
Locus236	 0.0073	-0.0239	 0.0689
Locus237	 0.0740	 0.0204	 0.1739
Locus238	-0.0177	-0.0476	 0.0158
Locus239	 0.1434	 0.0863	 0.2148
Locus240	 0.0445	-0.0106	 0.1497
Locus241	 0.0504	-0.0160	 0.1134
Locus242	-0.0071	-0.0448	 0.0469
Locus243	 0.0866	 0.0581	 0.1522
Locus244	 0.2284	 0.1393	 0.2947
Locus245	-0.0112	-0.0364	 0.0415
Locus246	-0.0067	-0.0427	 0.0395
Locus247	 0.0366	-0.0299	 0.1065
Locus248	 0.1908	-0.0065	 0.2748
Locus249	 0.0193	-0.0536	 0.1372
Locus250	 0.0032	-0.0406	 0.0574
Locus251	 0.0422	-0.0204	 0.1577
Locus252	 0.0295	-0.0254	 0.1490
Locus253	 0.1891	 0.0961	 0.2604
Locus254	 0.0235	-0.0229	 0.0846
Locus255	 0.0108	-0.0514	 0.0621
Locus256	 0.0210	-0.0259	 0.1093
Locus257	 0.0302	-0.0123	 0.0908
Locus258	 0.0208	-0.0351	 0.0750
Locus259	 0.0212	-0.0408	 0.1194
Locus260	 0.0388	-0.0027	 0.0846
Locus261	 0.1071	 0.0415	 0.2187
Locus262	 0.1194	-0.0038	 0.2745
Locus263	 0.0820	 0.0251	 0.1453
Locus264	 0.0621	 0.0090	 0.1305
Locus265	 0.0231	-0.0450	 0.0870
Locus266	 0.2706	 0.1675	 0.3934
Locus267	 0.1583	 0.0469	 0.2744
Locus268	 0.1700	 0.0773	 0.2889
Locus269	 0.0264	-0.0277	 0.0883
Locus270	 0.0295	 0.0002	 0.0629
Locus271	 0.0040	-0.0416	 0.0486
Locus272	 0.0561	-0.0209	 0.1662
Locus273	 0.0537	-0.0259	 0.1441
Locus274	 0.0727	-0.0252	 0.1865
Locus275	 0.0652	-0.0203	 0.1880
Locus276	 0.1073	 0.0475	 0.1988
Locus277	 0.0272	-0.0139	 0.1014
Locus278	 0.1049	 0.0388	 0.1595
Locus279	 0.0435	-0.0166	 0.0865
Locus280	 0.1964	 0.1149	 0.2992
Locus281	 0.0260	-0.0247	 0.1205
Locus282	 0.0534	-0.0102	 0.1446
Locus283	-0.0084	-0.0579	 0.0401
Locus284	 0.0479	-0.0222	 0.1119
Locus285	 0.1471	 0.0839	 0.2145
Locus286	-0.0016	-0.0368	 0.0380
Locus287	 0.0921	 0.0126	 0.1909
Locus288	 0.0926	 0.0300	 0.1439
Locus289	-0.0138	-0.0465	 0.0317
Locus290	 0.0259	-0.0117	 0.0642
Locus291	 0.0297	-0.0406	 0.1042
Locus292	 0.0205	-0.0310	 0.1059
Locus293	 0.1462	 0.0780	 0.2146
Locus294	 0.1075	 0.0608	 0.1627
Locus295	-0.0129	-0.0417	 0.0340
Locus296	-0.0091	-0.0442	 0.0651
Locus297	 0.0340	-0.0291	 0.0877
Locus298	 0.1154	 0.0621	 0.2060
Locus299	 0.0509	 0.0173	 0.1193
Locus300	 0.0143	-0.0103	 0.0541
Locus301	-0.0056	-0.0824	 0.1707
Locus302	 0.2601	 0.1905	 0.3450
Locus303	-0.0140	-0.0655	 0.0237
Locus304	 0.1332	 0.0829	 0.1959
Locus305	 0.0528	 0.0003	 0.2058
Locus306	-0.0111	-0.0556	 0.0510
Locus307	 0.0206	-0.0265	 0.0612
Locus308	 0.0236	-0.0400	 0.0635
Locus309	 0.0194	-0.0334	 0.0644
Locus310	-0.0109	-0.0330	 0.0198
Locus311	-0.0050	-0.0404	 0.0293
Locus312	 0.0054	-0.0718	 0.1024
Locus313	 0.1117	 0.0517	 0.1787
Locus314	 0.0784	-0.0046	 0.1284
Locus315	 0.0596	-0.0601	 0.1755
Locus316	 0.0091	-0.0406	 0.0795
Locus317	 0.0573	 0.0079	 0.0840
Locus318	 0.0287	 0.0029	 0.0692
Locus319	 0.0411	-0.0131	 0.1074
Locus320	 0.0681	-0.0217	 0.1681
Locus321	 0.0780	 0.0380	 0.1217
Locus322	-0.0161	-0.0725	 0.0316
Locus323	 0.0308	-0.0103	 0.0734
Locus324	 0.1377	 0.0388	 0.2615
Locus325	 0.1129	 0.0315	 0.1807
Locus326	 0.0387	-0.0364	 0.1476
Locus327	 0.1134	 0.0522	 0.2032
Locus328	 0.0486	-0.0351	 0.1100
Locus329	-0.0106	-0.0384	 0.0548
Locus330	 0.0274	-0.0160	 0.1246
Locus331	 0.0810	 0.0228	 0.1705
Locus332	 0.0171	-0.0302	 0.0935
Locus333	-0.0124	-0.0513	 0.0372
Locus334	 0.0377	-0.0282	 0.1212
Locus335	 0.0792	-0.0169	 0.3355
Locus336	 0.0656	 0.0234	 0.1029
Locus337	 0.1627	 0.0744	 0.3026
Locus338	 0.0368	-0.0582	 0.1594
Locus339	 0.0178	-0.0332	 0.0940
Locus340	 0.0345	-0.0178	 0.0948
Locus341	 0.0023	-0.0309	 0.0376
Locus342	 0.0559	 0.0056	 0.1062
Locus343	 0.1047	-0.0066	 0.1997
Locus344	-0.0127	-0.0397	 0.0293
Locus345	 0.0405	 0.0181	 0.0710
Locus346	 0.0407	 0.0019	 0.0771
Locus347	 0.0064	-0.0460	 0.1103
Locus348	 0.1013	 0.0649	 0.1472
Locus349	 0.0130	-0.0590	 0.1321
Locus350	 0.0591	-0.0251	 0.1644
Locus351	 0.0386	-0.0047	 0.1258
Locus352	 0.0197	-0.0312	 0.0794
Locus353	 0.0567	 0.0055	 0.0942
Locus354	 0.0688	-0.0573	 0.1875
Locus355	-0.0017	-0.0463	 0.0889
Locus356	-0.0160	-0.0427	 0.0051
Locus357	 0.0280	-0.0224	 0.0787
Locus358	 0.0202	-0.0306	 0.0689
Locus359	 0.1881	 0.1395	 0.2944
Locus360	 0.0208	-0.0247	 0.0770
